title,description,category,url,image,provider,datePublished,sentiment
"Israel-Gaza live updates: Hezbollah fires 'hundreds' of rockets amid Israeli strikes","As the Israel-Hamas war continues, cease-fire discussions are occurring in the Middle East, with officials hoping to bring an end to the conflict. The United States and its allies continue to plead for a cease-fire deal, with discussions set for this week.","World","https://abcnews.go.com/International/live-updates/israel-hamas-cease-fire-talks-hostages-war/?entryId=113132298&id=112935700","https://www.bing.com/th?id=OVFT.6uj6R348iufCnrJw3LA0ti&pid=News","ABC","2024-08-25","negative"
"Telegram’s Toncoin (TON) launches exclusively on Altify. Invest in TON with ZAR, USDT and more.","Telegram’s Toncoin is one of the fastest-growing blockchains in the world – and Altify is now the only South African platform to have it listed.","ScienceAndTechnology","https://businesstech.co.za/news/industry-news/788156/telegrams-toncoin-ton-launches-exclusively-on-altify-invest-in-ton-with-zar-usdt-and-more/","https://www.bing.com/th?id=OVFT.7s3VXsoCV7rkifcFSm5J4C&pid=News","businesstech.co.za","2024-08-26","neutral"
"New COVID-19 vaccines were just approved: Everything you need to know","The newest formula is targeted at what's expected to be the dominant strain of the virus, much like is done for the flu, according to the FDA.","Health","https://chicago.suntimes.com/health/2024/08/23/covid-vaccines-approved-kp2-strain-what-you-need-to-know","https://www.bing.com/th?id=OVFT.ldxgKhHqhaLeW8S3LqgGYC&pid=News","Chicago Sun-Times","2024-08-23","negative"
"Israel and Hezbollah trade fire in major flare-up","Hezbollah had vowed to retaliate against Israel after a string of figures in Iran-backed militant groups were killed over a span of weeks, raising fears of a wider Middle East conflict. Follow for live news updates.","World","https://edition.cnn.com/world/live-news/israel-hamas-iran-hezbollah-intl-latam","https://www.bing.com/th?id=OVFT.rVpBPdpcKFFRMBc9Ar-E0i&pid=News","CNN","2024-08-25","negative"
"Get Your PC Ready for Black Myth: Wukong with the Best GPUs in 2024","Wukong is the latest action role-playing game (RPG) to hit PC, PS5, and Xbox Series consoles and there has been a lot of hype around it. The so-called souls-like genre of games does invoke a sense of challenge and opportunity,","ScienceAndTechnology","https://gamerant.com/best-gpus-for-black-myth-wukong/","https://www.bing.com/th?id=OVFT.OoGtyP0eMIyE5n25lQJsui&pid=News","Game Rant","2024-08-23","neutral"
"Centre announces Unified Pension Scheme: How will UPS differ from OPS, NPS?","Former Finance Secretary T V Somanathan, who led the committee which came up with the UPS, said that the latest pension scheme incorporates the best elements of both the NPS and the OPS. Here is how i","Business","https://indianexpress.com/article/explained/centre-announced-unified-pension-scheme-how-will-ups-differ-from-ops-nps-9531351/","https://www.bing.com/th?id=OVFT.9RkNLjq0ixOtA2kqGCG4Sy&pid=News","The Indian Express","2024-08-24","neutral"
"King Charles releases first statement after Kate Middleton’s latest appearance","King Charles III made a huge announcement right after his beloved daughter-in-law Kate Middleton made a rare public appearance at Crathie Church in Balmoral on Sunday.The monarch and his wife Queen Camilla were accompanied by","Entertainment","https://jang.com.pk/en/19213-king-charles-releases-first-statement-after-kate-middletons-latest-appearance-news","https://www.bing.com/th?id=OVFT.zd5CVv5SLMhhW0SRDX8_2i&pid=News","Daily Jang","2024-08-26","positive"
"Middle East latest: 'Great peril remains' as Israel and Hezbollah 'trade messages' after exchanging fire","Hezbollah and Israel are said to have \"traded messages\" warning one another against further escalation after the two sides exchanged fire - but Sky's Alex Rossi says great peril remains. In the video below,","World","https://news.sky.com/story/middle-east-latest-great-peril-remains-as-israel-and-hezbollah-trade-messages-after-exchanging-fire-12978800","https://www.bing.com/th?id=OVFT.yHiworf0yq29L7E_36NvsC&pid=News","Sky","2024-08-26","neutral"
"UK weather latest: Watch tents fly across festival as 70mph winds hit UK - with more warnings for weekend","A lorry driving across the Humber Bridge had a near miss today as strong winds nearly toppled it over. The video, posted on Facebook, shows the vehicle's rear wheels lift on one side as the strength of the wind pushes it towards the edge of the suspension ...","US","https://news.sky.com/story/uk-weather-latest-watch-tents-fly-across-festival-as-70mph-winds-hit-uk-with-more-warnings-for-weekend-13201665","https://www.bing.com/th?id=OVFT.LBuTfkcpRLQfwU-XwjPBlS&pid=News","Sky","2024-08-23","negative"
"What is the energy price cap? And why is it important?","But the latest increase - which means households paying by direct debit will pay £12 per month more - means the cap will remain around £500 up on the average annual bill levels seen before Russia's invasion of Ukraine. But what is the energy price cap?","Business","https://news.sky.com/story/what-is-the-energy-price-cap-and-why-is-it-important-13201680","https://www.bing.com/th?id=OVFT.jKYL7gPaKK2m8pQEsJ7fXy&pid=News","Sky","2024-08-23","neutral"
"Powerball winning numbers for Saturday, Aug. 24. Check tickets for $34 million jackpot","Prizes vary from $4 for the matching the Powerball to $1 million for matching all five white balls (except in California) to the jackpot for matching all six balls. You can check all the prize payouts on the Powerball website here.","US","https://news.yahoo.com/news/powerball-winning-numbers-saturday-aug-030204823.html","https://www.bing.com/th?id=OVFT.bUQg7Tttk8Slb3jh-8vkQy&pid=News","YAHOO!News","2024-08-25","neutral"
"Kamala Harris-backed bail fund set loose criminals who went on to be hit with murder, DUI death and arson charges","and we have used that support to advance our mission during the years since,” said Noble Frank, the group’s communications director. Despite their huge influx of cash, MFF listed a loss of $6.7 million on its 2022 federal filings, the latest available.","US","https://nypost.com/2024/08/22/us-news/kamala-harris-backed-bail-funds-fails-continue/","https://www.bing.com/th?id=OVFT.0jQUoGHLrzCEzTW6cJYVLS&pid=News","New York Post","2024-08-22","neutral"
"Man Was Killed by Police on Campus of Texas High School, Leading to Cancellation of Classes","A Texas police officer fatally shot a man at a high school in El Paso, leading to cancellation of school for the day. The Thursday, Aug. 22 shooting was reported by KTSM, CBS4 and the El Paso Times, who cited El Paso Independent School District Police Chief Manuel Chavira.","US","https://people.com/police-shooting-outside-texas-high-school-cancellation-classes-8700010","https://www.bing.com/th?id=OVFT.dsxtabvZCS57YrRVEHQtWy&pid=News","People","2024-08-22","negative"
"Trump’s latest attacks target Harris on immigration, crime","Former President Trump took to social media early Saturday to continue his attacks on Vice President Harris, targeting the vice president on immigration policies put in place under the Biden","Politics","https://thehill.com/homenews/campaign/4845774-donald-trump-kamala-harris-joe-biden-policy-2024/","https://www.bing.com/th?id=OVFT.tp1fY-0WIxwNG0TVekFGmS&pid=News","The Hill","2024-08-24","negative"
"Samsung Galaxy Watch 7 vs. Galaxy Watch 6: Similar software, different hardware","The Samsung Galaxy Watch 7 features real-world improvements over the Galaxy Watch 6 that can’t be added through software updates","ScienceAndTechnology","https://www.androidpolice.com/samsung-galaxy-watch-7-vs-galaxy-watch-6/","https://www.bing.com/th?id=OVFT.i3yvX_7xruy_HQ8JRNXT-C&pid=News","Android Police","2024-08-25","positive"
"Doctors take on charity ice swim in polar regions","Two doctors are risking hypothermia and predators to swim a kilometre in the ice-cold waters of the Arctic and Antarctic. Adam Baker and Charlie Fleury, who are raising money for Somerset charity Weston Hospicecare, are no strangers to extreme challenges, having already rowed across the Atlantic.","Health","https://www.bbc.com/news/articles/cx2gpwl57epo","https://www.bing.com/th?id=OVFT.8P6XooeP9383SSHo3Xi3ry&pid=News","BBC","2024-08-24","negative"
"German authorities don't rule out terrorism after knife attack kills at least 3, injures 8","Multiple people were killed and several more injured in a knife attack on Friday at a festival in the city of Solingen in western Germany, according to German police. Düsseldorf police spokesperson Anja Kynast told CBS News that at least three people were killed and at least four others wounded in the attack.","US","https://www.cbsnews.com/news/germany-solingen-festival-fatal-attack/","https://www.bing.com/th?id=OVFT.6xg0F8OYYrmcl7rMm666yC&pid=News","CBS News","2024-08-25","negative"
"Taylor Swift fake posted by Trump highlights challenges in AI misuse regulation","When former President Donald Trump reposted a fake image of Taylor Swift striking a pose like the iconic Uncle Sam recruiting poster, it pushed to the forefront a topic that goes beyond politics: unauthorized digital replicas.","Politics","https://www.cnn.com/2024/08/24/us/ai-content-laws-taylor-swift-trump/index.html","https://www.bing.com/th?id=OVFT.NrVJC2KJjgX9f7IKAv66FS&pid=News","CNN","2024-08-24","negative"
"Russia launches deadly overnight aerial attack on cities and power grids across Ukraine","Russian forces launched a barrage of drone and missile attacks across Ukraine overnight, killing at least three people, as Ukrainian officials reported power outages in several cities.","World","https://www.cnn.com/2024/08/26/europe/ukraine-russia-air-attacks-intl-hnk/index.html","https://www.bing.com/th?id=OVFT.3I2wE3GJtTSS6CY55u1lGi&pid=News","CNN","2024-08-26","negative"
"The latest on the 2024 presidential race","Vice President Kamala Harris is forging ahead as the Democratic nominee after the DNC, while Donald Trump earned a high-profile endorsement. Follow for live updates.","Politics","https://www.cnn.com/politics/live-news/trump-harris-election-08-24-24/index.html","https://www.bing.com/th?id=OVFT.C4qELwA6J5tahYxgB8C2Li&pid=News","CNN","2024-08-24","neutral"
"The Latest: RFK Jr. suspends his campaign and backs Trump","By The Associated Press Vice President Kamala Harris accepted her party’s nomination and offered her policy agenda on the fourth and final night of the Democratic National Convention on","Politics","https://www.denverpost.com/2024/08/23/the-latest-rfk-jr-suspends-his-campaign-and-backs-trump/","https://www.bing.com/th?id=OVFT.HiBx17Q2d2M0rLIEeQHwyS&pid=News","The Denver Post","2024-08-23","positive"
"The Latest: The real test for Harris’ campaign begins in the presidential race against Trump","Democratic presidential nominee Vice President Kamala Harris waves during the Democratic National Convention Thursday, Aug. 22, 2024, in Chicago.(Gabrielle Lurie/San Francisco Chronicle via AP) Republican presidential nominee former President Donald Trump ...","Politics","https://www.denverpost.com/2024/08/23/the-latest-the-real-test-for-harris-campaign-begins-in-the-presidential-race-against-trump/","https://www.bing.com/th?id=OVFT.HiBx17Q2d2M0rLIEeQHwyS&pid=News","The Denver Post","2024-08-23","neutral"
"Flu and COVID-19 are once again colliding this fall. Here's what to know.","The Food and Drug Administration officially approved the latest COVID-19 vaccines for distribution this week. They are expected sometime in September.","Health","https://www.dispatch.com/story/news/healthcare/2024/08/24/flu-and-covid-19-will-once-again-collide-this-fall-what-to-know/74908202007/","https://www.bing.com/th?id=OVFT.MItB3KfERZCR1GPZtInlxy&pid=News","Columbus Dispatch","2024-08-24","neutral"
"MOVIES WAY BACK WHEN – An Authentic Stagecoach on the Screen","Shortly after the “Flying A” folks moved to Santa Barbara in 1912, they were able to use the old Lompoc stagecoach in their films. One of the first films that the studio created here was “The Jack of Diamonds.","Entertainment","https://www.edhat.com/news/movies-way-back-when-an-authentic-stagecoach-on-the-screen/","https://www.bing.com/th?id=OVFT.pUUR03u_HS_luPNu00mWYS&pid=News","Edhat","2024-08-24","neutral"
"15 Movies To Watch On Tubi UK","The UK now gets an opportunity to ride the Tubi rollercoaster and we give you 15 gems to watch from underrated, undiscovered and forgotten, to enjoyably bad… Without a huge deal of fanfare, Tubi opened its doors in the UK recently to try and capture the kind of audience pull it’s managed over in the","Entertainment","https://www.flickeringmyth.com/15-movies-to-watch-on-tubi-uk/","https://www.bing.com/th?id=OVFT.TxYiNpKctS4UeQiWL4q_KS&pid=News","Flickeringmyth","2024-08-24","negative"
"Apple iPhone 16 Pro: New Design Echoed In Latest Leak","There’s a different design element coming to the Pro iPhones this fall: a new color that has just been named and shown in a new leak.","ScienceAndTechnology","https://www.forbes.com/sites/davidphelan/2024/08/23/apple-iphone-16-pro-new-design-echoed-in-latest-leak/","https://www.bing.com/th?id=OVFT.PhbESIuVEGAsgCGalBu3aS&pid=News","Forbes","2024-08-23","neutral"
"Apple iPhone 16 Pro: New Design Echoed In Latest Leak","There’s a different design element coming to the Pro iPhones this fall: a new color that has just been named and shown in a new leak.","ScienceAndTechnology","https://www.forbes.com/sites/davidphelan/2024/08/24/apple-iphone-16-pro-new-design-echoed-in-latest-leak/","https://www.bing.com/th?id=OVFT.PhbESIuVEGAsgCGalBu3aS&pid=News","Forbes","2024-08-24","neutral"
"Apple iPhone 16 Release Date: New Report Hones In On Precise Date","The iPhone 16 series release date is nearly here. And an industry heavyweight has just claimed to know the exact date it’ll be revealed.","ScienceAndTechnology","https://www.forbes.com/sites/davidphelan/2024/08/24/apple-iphone-16-release-date-new-report-hones-in-on-precise-date/","https://www.bing.com/th?id=OVFT.jZRDBdCqX1uLfQXaYalLFi&pid=News","Forbes","2024-08-24","neutral"
"Apple iPhone 16 Release Date: New Report Hones In On Precise Date","And the latest report seems to confirm the date of that. Or does it? I have questions. The iPhone 15 is about to be replaced by the iPhone 16. But when, exactly? I’ve written already that I’m convinced the iPhone 16, iPhone 16 Plus, iPhone 16 Pro and ...","ScienceAndTechnology","https://www.forbes.com/sites/davidphelan/2024/08/25/apple-iphone-16-release-date-new-report-hones-in-on-precise-date/","https://www.bing.com/th?id=OVFT.jZRDBdCqX1uLfQXaYalLFi&pid=News","Forbes","2024-08-25","positive"
"25 Must-Watch Movies About Animals","Explore the best animal movies featuring heartwarming tales, wild adventures, and unforgettable creatures. Perfect for animal lovers and movie enthusiasts.","Entertainment","https://www.forbes.com/sites/entertainment/article/animal-movies/","https://www.bing.com/th?id=OVFT.ArCb6KD9ysXeZOYEwhH1aC&pid=News","Forbes","2024-08-24","positive"
"25 Can’t-Miss Shakespeare Movies","Explore top films based on Shakespeare's classics. See the timeless storytelling with cinematic brilliance that brings his plays to life once again.","Entertainment","https://www.forbes.com/sites/entertainment/article/shakespeare-movies/","https://www.bing.com/th?id=OVFT.3J_Rsqf5AHv9nxfQnpVa8S&pid=News","Forbes","2024-08-24","positive"
"I knew Mike Lynch and his next idea was to get us to believe the unbelievable","The entrepreneur who died in a freak yachting disaster has been dubbed the British Bill Gates, but Jonathan Margolis, who knew him well, says he was a fascinating man obsessed with the science of prob","ScienceAndTechnology","https://www.independent.co.uk/news/uk/home-news/mike-lynch-dead-billionaire-yacht-sinks-b2599640.html","https://www.bing.com/th?id=OVFT.9eaMayGXEYBSdAnYF3qagi&pid=News","The Independent","2024-08-24","negative"
"Ben Mankiewicz Introduces New TCM Series on Political Movies from the National Mall — Watch","The Most Significant Political Films of All Time' will feature dozens of cinematic treasures, as well as special guest interviews.","Entertainment","https://www.indiewire.com/news/general-news/tcm-political-movies-series-ben-mankiewicz-1235039795/","https://www.bing.com/th?id=OVFT.-YV7bvKMPRnFOGEffu2fEi&pid=News","IndieWire","2024-08-23","neutral"
"Jackson Hole Meeting 2024 Live Updates: Fed's Powell says 'time has come' to cut interest rates","Jackson Hole Symposium Latest News: \"The upside risks to inflation have diminished. And the downside risks to employment have increased,\" Powell said in a highly anticipated speech to the Kansas City Fed's annual economic conference in Jackson Hole,","Business","https://www.moneycontrol.com/news/business/economy/jackson-hole-meeting-2024-live-updates-fed-chair-jerome-powell-speech-highlights-liveblog-12805367.html","https://www.bing.com/th?id=OVFT.p3oWHtWuRgHPm8IeT-Xv1C&pid=News","moneycontrol.com","2024-08-23","neutral"
"Foxconn infuses Rs 1,200 crore into Karnataka Unit, plans major manufacturing plant","With the latest funding, Foxconn Singapore's total investment in the Karnataka unit now stands at over Rs 13,800 crore. The state government has allocated 300 acres of land for the construction of the mobile manufacturing plant. Advisory Alert: It has come ...","Business","https://www.moneycontrol.com/news/business/foxconn-infuses-rs-1200-crore-in-karnataka-unit-12805431.html","https://www.bing.com/th?id=OVFT.yq7pzM5TdGfuWqImUPyUCC&pid=News","moneycontrol.com","2024-08-23","neutral"
"Russia-Ukraine war latest: Zelensky touts new ‘drone missile’ as Putin sends more artillery to troops in Kursk","Ukrainian president President Volodymyr Zelensky has touted a newly developed Ukrainian \"drone missile\" that he said would take the war back to Russia. As Ukraine marked 33 years of post-Soviet independence,","World","https://www.msn.com/en-gb/news/world/russia-ukraine-war-latest-zelensky-touts-new-drone-missile-as-putin-sends-more-artillery-to-troops-in-kursk/ar-BB1pZjeB","https://www.bing.com/th?id=OVFT.GOyvoRwKP0YuKxLwRY9BWC&pid=News","The Independent on MSN.com","2024-08-25","negative"
"iPhone 16 series rumoured to debut on September 10: Everything we know so far","Apple is planning to reveal its latest hardware on September 10. While there is no official notification so far, the rumours and leaks have got us covered about the upcoming iPhone 16 series.","ScienceAndTechnology","https://www.msn.com/en-in/lifestyle/shopping/iphone-16-series-rumoured-to-debut-on-september-10-everything-we-know-so-far/ar-AA1plWOf","https://www.bing.com/th?id=OVFT.oCh9Pb1eGU110hdAefhCki&pid=News","India Today on MSN.com","2024-08-24","neutral"
"Samsung's Galaxy Smart Ring may be unfixable if battery fails, suggests iFixit report","Samsung's Galaxy Ring could reportedly face repairability issues due to its design. iFixit reports that accessing internal components without damaging the device is nearly impossible, especially when the battery depletes.","ScienceAndTechnology","https://www.msn.com/en-in/lifestyle/shopping/samsungs-galaxy-smart-ring-may-be-unfixable-if-battery-fails-suggests-ifixit-report/ar-AA1pkloK","https://www.bing.com/th?id=OVFT.Y6GehoLyvAWQh9pCy_NshS&pid=News","Mint on MSN.com","2024-08-24","negative"
"iOS 18 Beta: A Cheat Sheet for Exploring the Latest iPhone Update","At Apple's Worldwide Developers Conference in June, the company said it will release iOS 18 to the general public this fall. The tech giant already released the iPhone update to developers and beta testers so they can try all the new features,","ScienceAndTechnology","https://www.msn.com/en-ph/news/technology/ios-18-beta-a-cheat-sheet-for-exploring-the-latest-iphone-update/ar-BB1qp8nH","https://www.bing.com/th?id=OVFT.V1f8jwBBIopsjwAc7uBRBS&pid=News","CNET on MSN.com","2024-08-25","neutral"
"COVID-19 vaccines are updated and ready for fall, FDA says","The updated vaccines from Pfizer and Moderna for people ages 6 months and older come amid a summer surge in COVID-19 cases across the U.S. Walgreens and CVS, two of the largest chains, previously told USA TODAY shipments of the vaccines could arrive a few days after FDA approval.","Health","https://www.msn.com/en-us/health/other/covid-19-vaccines-are-updated-and-ready-for-fall-fda-says/ar-AA1pgkhq","https://www.bing.com/th?id=OVFT.GwSBhxsJANtKKJmfSNcsZS&pid=News","USA Today on MSN.com","2024-08-22","neutral"
"Traveling to die: The latest form of medical tourism","In the 18 months after Francine Milano was diagnosed with a recurrence of the ovarian cancer she thought she’d beaten 20 years ago, she traveled twice from her home in Pennsylvania to Vermont. She went not to ski, hike, or leaf-peep, but to arrange to ...","Health","https://www.msn.com/en-us/health/other/traveling-to-die-the-latest-form-of-medical-tourism/ar-AA1piHpo","https://www.bing.com/th?id=OVFT.6BfLoJgE_HwLs7ZX9HES2S&pid=News","CNN on MSN.com","2024-08-23","neutral"
"I put the Google Pixel 9 Pro vs. iPhone 15 Pro through a 7-round face-off — here's the winner","A Google Pixel 9 Pro vs. iPhone 15 Pro face-off will be a fairly short-lived battle. After all, Apple is expected to release new iPhones next month, and the iPhone 16 Pro figures to be the device that squares off against Google's latest flagship.","ScienceAndTechnology","https://www.msn.com/en-us/lifestyle/shopping/google-pixel-9-pro-vs-iphone-15-pro-which-phone-wins/ar-AA1pilAX","https://www.bing.com/th?id=OVFT.RnOS81jMHH_i7vkkL2wTlC&pid=News","Tom's Guide on MSN.com","2024-08-23","neutral"
"Keir Starmer is about to become very dangerous","You can hardly blame the trade unions. It’s their job to fight for better wages and conditions for their members. Criticising a union for demanding pay rises is like criticising traffic wardens for issuing parking tickets: it’s what they do,","Politics","https://www.msn.com/en-us/money/markets/keir-starmer-is-about-to-become-very-dangerous/ar-AA1pjygm","https://www.bing.com/th?id=OVFT.2EeAHHBcqho3Vs5pSGeikS&pid=News","The Telegraph on MSN.com","2024-08-23","negative"
"Dice Dreams Free Rolls - Updated Daily","Get the latest Dice Dreams free rolls links, updated daily! With Dice Dream free rolls, you can keep on rolling and hit the top of the leaderboard faster than you think! In this article, we have a list of free roll links updated daily,","ScienceAndTechnology","https://www.msn.com/en-us/money/technology/dice-dreams-free-rolls-updated-daily/ar-BB1lMzuv","https://www.bing.com/th?id=OVFT.psd9A9h1_tnUUwgC1ZP05S&pid=News","Talk Android on MSN.com","2024-08-24","positive"
"And Now, a Moment of Silence for All the Alien Movies That Never Got Made","Imagine the timeline in which James Cameron returned to the franchise, Joss Whedon wrote the fifth movie, or Michael Fassbender played David again.","Entertainment","https://www.msn.com/en-us/movies/news/and-now-a-moment-of-silence-for-all-the-alien-movies-that-never-got-made/ar-AA1pmjfP","https://www.bing.com/th?id=OVFT.s5glG3Z0h2_DbaUyjHZBHC&pid=News","Vulture.com on MSN.com","2024-08-24","neutral"
"How to Watch the Marvel Movies in Chronological Order","Find out how to watch all the Marvel movies in chronological order or release order, and where the MCU Disney+ shows fit into the timeline.","Entertainment","https://www.msn.com/en-us/movies/news/how-to-watch-the-marvel-movies-in-chronological-order/ar-AA1g9TPD","https://www.bing.com/th?id=OVFT.zgrmsQNiAvGaUKfWJPQRiy&pid=News","TheWrap on MSN.com","2024-08-24","neutral"
"The 14 Best Movies and TV Shows to Watch This Weekend","Blink twice and maybe this weekend will go by quickly. Even the movie theaters are itching for next week’s four-day weekend, judging by this one’s meager offerings. But at least your at-home watch list is popping off.","Entertainment","https://www.msn.com/en-us/movies/news/the-15-best-movies-and-tv-shows-to-watch-this-weekend/ar-AA1pjUK8","https://www.bing.com/th?id=OVFT.4NLF-UNyolJ33bOCCI_-yi&pid=News","Vulture.com on MSN.com","2024-08-24","negative"
"Tim Burton isn't interested in making new superhero movies","Burton is obviously not averse to revisiting his old films in general, because he's currently promoting Beetlejuice Beetlejuice. The upcoming film is a long-in-development sequel to his original horror-comedy classic Beetlejuice, which came out a year before Batman and shared Keaton in the titular role.","Entertainment","https://www.msn.com/en-us/movies/other/tim-burton-isn-t-interested-in-making-new-superhero-movies/ar-AA1pkHmo","https://www.bing.com/th?id=OVFT.RxhvQ8VA2aL3is16I2KqHy&pid=News","Entertainment Weekly on MSN.com","2024-08-23","neutral"
"North Carolina men facing child sex charges as cyber tips lead to their arrests","Two men are facing child sex charges following cyber tips received as part of an investigation, according to the Randolph County Sheriff’s Office.","US","https://www.msn.com/en-us/news/crime/cyber-tips-lead-to-the-arrests-of-two-men-now-facing-child-sex-charges/ar-AA1pjPwt","https://www.bing.com/th?id=OVFT.vaiy4yBPVgrlwS78Oii5iy&pid=News","WXII 12 NEWS on MSN.com","2024-08-23","negative"
"Syrian man arrested over deadly knife attack in Germany; Islamic State group claims responsibility","The attack occurred Friday night during a festival commemorating the 650th anniversary of the city of Solingen.","World","https://www.msn.com/en-us/news/news/at-least-3-dead-and-6-injured-in-knife-attack-at-festival-in-germany/ar-AA1pkKRd","https://www.bing.com/th?id=OVFT.JDLz6wXzmIrJqnrqrdUfOS&pid=News","NBC News on MSN.com","2024-08-25","negative"
"Stephen A. Smith lauds Harris’s Democratic convention speech as ‘sensational’","ESPN sports commentator Stephen A. Smith weighed in on Vice President Harris’s speech at the Democratic National Convention (DNC) earlier this week, saying that she got off to a rough start","Politics","https://www.msn.com/en-us/news/other/stephen-a-smith-lauds-harris-s-democratic-convention-speech-as-sensational/ar-AA1pmwNr","https://www.bing.com/th?id=OVFT.JGbEEVBGIRXbQaMcnAkAPS&pid=News","The Hill on MSN.com","2024-08-24","neutral"
"Harris leading Trump by 7 points: Poll","Vice President Harris holds a 7-point edge over former President Trump nationally in a new poll, marking the latest gain for the Democratic presidential candidate as the general election","Politics","https://www.msn.com/en-us/news/politics/harris-leading-trump-by-7-points-poll/ar-AA1poCtz","https://www.bing.com/th?id=OVFT.WkMqsLYfOdYKrFV8hQH1MC&pid=News","The Hill on MSN.com","2024-08-25","positive"
