ROL3,Language,WebLangText,Status,ROG3,HubCountry,BibleStatus,GRN_URL,TranslationNeedQuestionable,BibleYear,NTYear,PortionsYear,PercentAdherents,PercentEvangelical,JF,JF_URL,AudioRecordings,JPScale,LeastReached,RLG3,PrimaryReligion,FCBH_URL,NbrPGICs,NbrCountries
"arq","Arabic, Algerian","Arabic, Algerian","L","AG","Algeria","4","https://globalrecordings.net/en/language/arq",,,"1965-2020","1872-1964","0.050000000000000003","0.02","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-algerian.html","Y","1","Y","6","Islam","https://live.bible.is/bible/ARQUBS","28","20"
"aao","Arabic, Algerian Saharan","Arabic, Algerian Saharan","L","AG","Algeria","3","https://globalrecordings.net/en/language/aao",,,,"1992","0.01","0","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-north-african.html","Y","1","Y","6","Islam",,"9","5"
"abv","Arabic, Baharna","Arabic, Baharna","L","BA","Bahrain","2",,,,,,"3.3900000000000001","0.90000000000000002","N",,"Y","1","Y","6","Islam",,"2","2"
"shu","Arabic, Chadian","Arabic, Chadian","L","CD","Chad","5","https://globalrecordings.net/en/language/shu",,"2019-2023","2012","1964","0.42999999999999999","0.33000000000000002","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-chadian-spoken.html","Y","1","Y","6","Islam","https://live.bible.is/bible/SHUDPL","11","7"
"acy","Arabic, Cypriot","Arabic, Cypriot","L","CY","Cyprus","0",,,,,,"95","0.20000000000000001","N",,"Y","3","N","1","Christianity",,"1","1"
"adf","Arabic, Dhofari","Arabic, Dhofari","L","MU","Oman","2",,,,,,"0","0","N",,"Y","1","Y","6","Islam",,"1","1"
"avl","Arabic, Eastern Egyptian Bedawi","Arabic, Eastern Egyptian Bedawi","L","EG","Egypt","3","https://globalrecordings.net/en/language/avl",,,,"2004","0.01","0","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-bedouin.html","Y","1","Y","6","Islam",,"7","6"
"arz","Arabic, Egyptian","Arabic, Egyptian","L","EG","Egypt","5","https://globalrecordings.net/en/language/arz",,"2021","1932","1905-2007","14.6","4.8600000000000003","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-egyptian-colloquial.html","Y","4","N","6","Islam","https://play.google.com/store/apps/details?id=org.fcbh.arzvdv.n2.shirbd.n1.arabicbiblewithtashelhayt","40","36"
"afb","Arabic, Gulf","Arabic, Gulf","L","KU","Kuwait","3","https://globalrecordings.net/en/language/afb",,,,"2024","1.0700000000000001","0.25","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-gulf.html","Y","1","Y","6","Islam",,"18","13"
"ayh","Arabic, Hadrami","Arabic, Hadrami","L","YM","Yemen","3",,,,,"Yes","0","0","N",,"Y","1","Y","6","Islam",,"2","2"
"apc","Arabic, Levantine","Arabic, Levantine","L","SY","Syria","3","https://globalrecordings.net/en/language/apc",,,,"1939-2021","10.109999999999999","0.53000000000000003","N",,"Y","2","N","6","Islam","https://live.bible.is/bible/APCSMV","157","89"
"ayl","Arabic, Libyan","Arabic, Libyan","L","LY","Libya","0",,,,,,"0.42999999999999999","0.070000000000000007","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-libyan.html","Y","1","Y","6","Islam","https://live.bible.is/bible/AYLELA","23","13"
"acm","Arabic, Mesopotamian","Arabic, Mesopotamian","L","IZ","Iraq","4","https://globalrecordings.net/en/language/acm",,,"Yes","Yes","1.0900000000000001","0.23000000000000001","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-iraqi-baghdadi.html","Y","1","Y","6","Islam","https://live.bible.is/bible/ACMAAV","32","29"
"ary","Arabic, Moroccan","Arabic, Moroccan","L","MO","Morocco","4","https://globalrecordings.net/en/language/ary",,,"2012","1902-1952","0.10000000000000001","0.070000000000000007","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-moroccan.html","Y","1","Y","6","Islam","https://live.bible.is/bible/ARYMBS","27","23"
"ars","Arabic, Najdi","Arabic, Najdi","L","SA","Saudi Arabia","3",,,,,"2004-2013","0.070000000000000007","0.059999999999999998","N",,"Y","1","Y","6","Islam","https://apk.fcbh.org/Arabic_Sharif","12","11"
"acx","Arabic, Omani","Arabic, Omani","L","MU","Oman","0",,,,,,"0.14000000000000001","0.040000000000000001","N",,"Y","1","Y","6","Islam",,"12","10"
"apd","Arabic, Sudanese","Arabic, Sudanese","L","SU","Sudan","4","https://globalrecordings.net/en/language/apd",,,"1978-2022","1927-1964","1.25","0.26000000000000001","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-sudanese.html","Y","1","Y","6","Islam","https://apk.fcbh.org/Arabic_Sudanese","111","21"
"acq","Arabic, Ta'izzi-Adeni","Arabic, Ta'izzi-Adeni","L","YM","Yemen","3","https://globalrecordings.net/en/language/acq",,,,"2011","0","0","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-taizzi-yemeni.html","Y","1","Y","6","Islam",,"19","16"
"aeb","Arabic, Tunisian","Arabic, Tunisian","L","TS","Tunisia","4","https://globalrecordings.net/en/language/aeb",,,"1847-2011","1903–2014","0.22","0","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-tunisian.html","Y","1","Y","6","Islam","https://live.bible.is/bible/AEBWBT","17","12"
"aii","Assyrian Neo-Aramaic","Assyrian Neo-Aramaic","L","IZ","Iraq","5","https://globalrecordings.net/en/language/aii",,"1852-1966","1846-2002","1840-1993","93.269999999999996","1.4199999999999999","Y","https://www.jesusfilm.org/watch/jesus.html/assyrian.html","Y","3","N","1","Christianity","https://live.bible.is/bible/AIIFAA","23","23"
"auj","Awjilah","Awjilah","N","LY","Libya","0",,,,,,"0","0","N",,"N","1","Y","6","Islam",,"1","1"
"cld","Chaldean Neo-Aramaic","Chaldean Neo-Aramaic","L","IZ","Iraq","4","https://globalrecordings.net/en/language/cld",,,"2006","1992","95.340000000000003","1.02","Y","https://www.jesusfilm.org/watch/jesus.html/chaldean.html","Y","3","N","1","Christianity","https://live.bible.is/bible/CLDABT","6","6"
"cnu","Chenoua","Chenoua","L","AG","Algeria","0",,,,,,"0","0","N",,"N","1","Y","6","Islam",,"1","1"
"swb","Comorian, Maore","Comorian, Maore","L","MF","Mayotte","4","https://globalrecordings.net/en/language/swb",,,"1994-2021","1983","0.60999999999999999","0.070000000000000007","Y","https://www.jesusfilm.org/watch/jesus.html/shimaore.html","Y","1","Y","6","Islam",,"6","6"
"gha","Ghadames","Ghadames","L","LY","Libya","0",,,,,,"0.050000000000000003","0.02","N",,"N","1","Y","6","Islam",,"1","1"
"gho","Ghomara","Ghomara","L","MO","Morocco","3",,,,,"Yes","0","0","N",,"N","1","Y","6","Islam","https://live.bible.is/bible/GHOWBT","1","1"
"mey","Hassaniyya","Hassaniyya","L","MR","Mauritania","4","https://globalrecordings.net/en/language/mey",,,"Yes","2002-2005","0.080000000000000002","0.070000000000000007","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-hassaniya.html","Y","1","Y","6","Islam","https://live.bible.is/bible/MEYPBT","32","13"
"hrt","Hertevin","Hertevin","N","TU","Türkiye (Turkey)","0",,,,,,"100","0","N",,"N","3","N","1","Christianity",,"1","1"
"hoh","Hobyot","Hobyot","N","YM","Yemen","0",,,,,,"0.14000000000000001","0","N",,"N","1","Y","6","Islam",,"2","2"
"aij","Inter-Zab Jewish Neo-Aramaic","Inter-Zab Jewish Neo-Aramaic","N","IS","Israel","0",,,,,,"0","0","N",,"N","1","Y","4","Ethnic Religions",,"1","1"
"swh","Swahili","Swahili","L","TZ","Tanzania","5","https://globalrecordings.net/en/language/swh",,"1890-2017","1879-1989","1868-1968","12.91","2.9900000000000002","Y","https://www.jesusfilm.org/watch/jesus.html/swahili-tanzania.html","Y","4","N","6","Islam","https://live.bible.is/bible/SWHSUV","40","29"
"shi","Tachelhit","Tachelhit","L","MO","Morocco","4","https://globalrecordings.net/en/language/shi",,,"2021","1906-1925","0.17000000000000001","0.13","Y","https://www.jesusfilm.org/watch/jesus.html/tachelhit.html","Y","1","Y","6","Islam","https://apk.fcbh.org/Tashelhayt","5","3"
"thz","Tamajeq, Tayart","Tamajeq, Tayart","L","NG","Niger","4","https://globalrecordings.net/en/language/thz",,,"1990-2003","1934-1998","0.41999999999999998","0.35999999999999999","N",,"Y","1","Y","6","Islam",,"2","1"
"tzm","Tamazight, Central Atlas","Tamazight, Central Atlas","L","MO","Morocco","3","https://globalrecordings.net/en/language/tzm",,,,"1919-2020","0.070000000000000007","0.059999999999999998","Y","https://www.jesusfilm.org/watch/jesus.html/tamazight-central-atlas.html","Y","1","Y","6","Islam","https://live.bible.is/bible/TZMWYI","12","6"
"rif","Tarifit","Tarifit","L","MO","Morocco","4","https://globalrecordings.net/en/language/rif",,,"2020","1885-2018","0.080000000000000002","0.029999999999999999","Y","https://www.jesusfilm.org/watch/jesus.html/tarifit.html","Y","1","Y","6","Islam","https://live.bible.is/bible/RIFNVS","4","4"
"xxx","Unknown","Unknown",,,,,,,,,,,,,,,,,,,,,
"zen","Zenaga","Zenaga","N","MR","Mauritania","0",,,,,,"0","0","N",,"N","1","Y","6","Islam",,"1","1"
